Identification,UniqueID,Status,DateCaught,SeasonDay,Location,AbdomenWidth,AbdomenLength,PronotumLength,ElytralLength,Mass
SAT019,B022,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",3.0318,6.2252,2.3669,9.6634,0.0427
ZZK006,B023,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",2.932,9.9685,1.7286,8.8264,0.0343
AAS024,B028,1,Jun-23,11,"USA: Union Co, St. Mary's Park",3.9738,10.9033,3.2631,11.9061,0.0524
RAW024,B029,1,Jun-23,11,"USA: Union Co, St. Mary's Park",3.8999,8.2398,2.6372,10.8081,0.0504
RAW021,B030,1,Jun-23,11,"USA: Union Co, St. Mary's Park",3.5323,8.6526,2.7166,10.9739,0.0425
AAS023,B031,1,Jun-23,11,"USA: Union Co, St. Mary's Park",4.2112,8.2398,3.0453,12.0639,0.0598
RAW023,B032,1,Jun-23,11,"USA: Union Co, St. Mary's Park",3.3501,7.4383,2.4484,10.784,0.0418
AAS025,B033,1,Jun-23,11,"USA: Union Co, St. Mary's Park",3.23,6.279,2.5355,9.5711,0.0303
SAT027,B034,0,Jun-23,11,"USA: Union Co, St. Mary's Park",3.4874,6.7724,2.5185,10.5838,0.0345
SAT028,B035,1,Jun-23,11,"USA: Union Co, St. Mary's Park",3.5454,7.8831,3.1017,10.8739,0.0511
RAW025,B036,1,Jun-23,11,"USA: Union Co, St. Mary's Park",3.639,7.0915,2.6999,11.4576,0.0329
RAW020,B037,1,Jun-23,11,"USA: Union Co, St. Mary's Park",3.968,7.3832,3.0036,11.7084,0.0556
RAW022,B038,1,Jun-23,11,"USA: Union Co, St. Mary's Park",3.6393,9.0527,2.7844,11.2003,0.0404
EL001,B039,0,Jun-23,11,"USA: Union Co, St. Mary's Park",3.3615,7.661,2.8406,10.3095,0.0357
AAS026,B040,1,Jun-23,11,"USA: Union Co, St. Mary's Park",3.4865,7.4458,2.8315,11.4561,0.0416
SAT025,B041,1,Jun-23,11,"USA: Union Co, St. Mary's Park",3.4026,6.9207,3.0877,11.2594,0.0491
AAS027,B042,1,Jun-23,11,"USA: Union Co, St. Mary's Park",3.7212,7.5022,2.5575,11.0013,0.0544
SAT026,B043,0,Jun-23,11,"USA: Union Co, St. Mary's Park",3.0738,5.82,2.7493,10.3033,0.0438
SAT024,B044,1,Jun-23,11,"USA: Union Co, St. Mary's Park",2.8608,5.8926,2.3921,9.1955,0.0345
CZ008,B045,0,Jun-23,11,"USA: Union Co, St. Mary's Park",3.1822,6.0371,2.4257,9.8791,0.0481
CZ009,B046,1,Jun-23,11,"USA: Union Co, St. Mary's Park",3.5577,7.1833,2.4599,10.016,0.0495
SAT053,B047,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0085,7.3572,2.5567,9.747,0.0382
ZZK020,B048,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.267,6.886,2.654,10.4031,0.0436
ZZK030,B049,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2744,6.7898,2.6178,9.5542,0.0444
ZZK040,B050,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0716,5.9816,2.481,9.3525,0.0401
SAT048,B051,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.8385,8.3605,2.1521,8.6839,0.0269
SSK056,B052,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.5182,6.8671,2.4996,10.6802,0.0603
AAS062,B053,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0642,6.1823,2.3581,8.8257,0.0343
SAT029,B054,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3067,6.6433,2.6659,10.5003,0.0471
SAT045,B055,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.6284,5.216,2.2799,8.6545,0.0281
RAW044,B056,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.9366,6.4523,2.5889,9.8671,0.0333
ZZK016,B057,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.285,6.1443,2.6748,10.1466,0.0457
ZZK022,B058,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.7479,7.6114,2.6348,10.3134,0.054
SAT069,B059,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3141,5.9408,2.3288,9.673,0.0423
AAS046,B060,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1282,5.9551,2.5728,9.7249,0.0438
ZZK056,B061,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2056,5.9926,2.4901,9.9006,0.0459
RAW042,B062,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.5051,6.6712,2.8704,11.2245,0.064
AAS043,B063,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.7005,6.9038,2.8629,11.7477,0.0611
SAT058,B064,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.5722,7.7542,3.1028,11.9993,0.0508
ZZK057,B065,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.6165,7.0181,2.9494,10.7311,0.055
SAT046,B066,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.5715,6.7281,2.7505,11.3106,0.0527
AAS036,B067,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.528,6.4757,2.6575,10.5121,0.0493
ZZK055,B068,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3213,6.516,2.5331,10.1704,0.0463
SAT049,B069,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.9485,6.9253,2.4796,9.2613,0.0302
RAW030,B070,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.5161,6.255,2.3712,9.8751,0.0493
SAT056,B071,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2719,8.1398,2.4905,10.1332,0.0423
RAW060,B072,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3985,6.3453,2.4226,9.9152,0.0421
ZZK042,B073,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2744,7.1131,2.3898,10.5272,0.05
SAT068,B074,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3971,5.9815,2.5751,9.9424,0.0448
AAS051,B075,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.9275,5.8564,2.278,9.5305,0.0342
SAT050,B076,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.8993,6.0045,2.4216,8.9837,0.0355
RAW051,B077,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2534,6.1885,2.5308,9.786,0.0414
ZZK021,B078,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2895,6.2177,2.5321,9.5322,0.0391
RAW063,B079,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.7469,5.1681,2.3493,8.8326,0.0293
AAS045,B080,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3409,5.9614,2.4747,9.1897,0.035
SAT035,B081,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2743,5.7447,2.484,9.59,0.0436
ZZK54,B082,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.7038,9.112,2.6725,10.7116,0.0531
ZZK023,B083,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3249,6.5874,2.4745,10.0976,0.0459
RAW061,B084,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3973,5.9269,2.5555,10.1739,0.0492
SAT037,B085,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.799,7.4765,2.6271,11.4125,0.066
SAT065,B086,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.112,6.9135,2.5215,10.4432,0.0444
SAT064,B087,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.232,6.8901,2.5325,9.7297,0.0453
AAS057,B088,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.197,6.2864,2.5691,9.8099,0.037
RAW062,B089,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.022,5.5406,2.3109,9.6692,0.036
ZZK045,B090,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0897,5.9702,2.5215,9.0384,0.0344
AAS039,B091,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.232,6.357,2.5673,10.5628,0.0453
AAS034,B092,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2045,6.7892,2.7264,10.6822,0.0518
AAS059,B093,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2045,6.2206,2.3018,10.2948,0.0421
SAT061,B094,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.8691,5.8065,2.0484,9.1504,0.0326
AAS052,B095,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1745,6.2812,2.561,9.7523,0.0451
SAT054,B096,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2776,5.8045,2.4956,9.6396,0.0387
AAS056,B097,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1411,6.0081,2.6889,10.7474,0.0586
SAT039,B098,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2415,7.8786,2.603,9.8688,0.0458
ZZK034,B099,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.7862,5.6442,2.2227,8.9827,0.0293
ZZK017,B100,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2993,6.5998,2.535,9.7751,0.0512
RAW064,B101,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1243,6.6324,2.5746,10.2225,0.0423
SAT072,B102,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.4428,6.515,2.6218,10.0427,0.0465
ZZK026,B103,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3237,5.8472,2.4192,9.7249,0.0414
ZZK046,B104,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.947,6.049,2.4214,9.8651,0.0412
AAS038,B105,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1082,6.2893,2.4515,10.0656,0.0392
AAS042,B106,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.8735,6.2265,2.278,8.7856,0.0315
AAS043,B107,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.7587,6.5477,2.6753,10.9516,0.0605
ZZK048,B108,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.855,6.2531,2.3267,8.8326,0.029
ZZK038,B109,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.6503,6.7967,2.9184,10.925,0.0505
ZZK039,B110,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1028,6.0932,2.6863,10.2299,0.0408
SAT059,B111,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0366,6.2573,2.4108,9.3998,0.0361
AAS037,B112,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3968,8.5332,2.91,11.2265,0.0522
ZZK037,B113,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1758,6.5072,2.3958,9.5272,0.035
ZZK060,B114,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0139,6.2592,2.4498,9.4871,0.0506
ZZK047,B115,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.4,6.4128,2.6375,10.2808,0.0505
SAT041,B116,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.6761,4.9995,2.0704,8.2845,0.0267
SAT051,B117,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.9261,5.9803,2.3483,9.3133,0.0376
AAS044,B118,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0558,5.885,2.366,9.3372,0.0375
AAS029,B119,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.4711,6.3261,2.5339,10.4085,0.0505
AAS055,B120,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.145,5.927,2.6444,9.9387,0.0434
SAT062,B121,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3249,6.7944,2.6655,11.2904,0.0488
AAS053,B122,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.9637,6.3672,2.2134,9.5853,0.0331
AAS041,B123,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.4702,6.45,2.6736,10.6112,0.0522
AAS054,B124,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.9637,5.6018,2.3494,9.2656,0.0332
ZZK043,B125,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2919,6.4004,2.5682,10.2056,0.0465
ZZK021,B126,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.5447,6.4365,2.2794,10.5293,0.0523
ZZK036,B127,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.306,5.9456,2.3794,9.6471,0.0433
RAW040,B128,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2065,6.4457,2.5877,9.8207,0.0506
ZZK024,B129,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1736,6.7186,2.557,10.4058,0.0503
AAS028,B130,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3391,6.8423,2.5135,10.409,0.0493
ZZK059,B131,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.9124,5.6522,2.436,8.9321,0.031
ZZK058,B132,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3059,7.2101,2.714,10.2104,0.0405
RAW038,B133,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0594,5.897,2.5986,9.2963,0.0369
ZZK053,B134,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1194,6.3571,2.4951,9.5624,0.044
RAW034,B135,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0544,6.0255,2.608,9.6708,0.0403
SAT032,B136,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.5494,6.87,2.7961,11.2954,0.0603
ZZK,B137,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.6624,7.2465,2.8267,11.2562,0.066
ZZK035,B138,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.7223,6.8173,2.6404,10.8695,0.069
RAW046,B139,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0778,5.6422,2.3246,9.4804,0.0336
ZZK025,B140,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0331,5.9069,2.3751,9.6694,0.0324
ZZK010,B141,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2748,6.5666,2.5111,10.5018,0.0483
ZZK028,B142,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2637,6.1119,2.5772,10.0756,0.0483
SAT055,B143,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.6101,6.9203,2.6402,11.0563,0.0615
ZZK068,B144,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0894,5.8317,2.4309,9.077,0.0362
RAW031,B145,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3043,6.1413,2.4254,9.385,0.0387
ZZK029,B146,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.9506,5.7166,2.1555,9.2683,0.0368
SAT042,B147,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2637,6.458,2.5837,10.6678,0.0513
RAW054,B148,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1935,5.8519,2.5687,9.4817,0.0383
AAS060,B149,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.6729,6.0069,2.1847,8.9455,0.0316
AAS033,B150,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3979,7.5897,2.6684,11.537,0.0514
SAT060,B151,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1863,6.9401,2.5906,10.3552,0.0437
SAT067,B152,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.6326,7.535,2.6318,11.1211,0.0534
RAW039,B153,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3283,6.8774,2.6273,10.2677,0.0396
RAW070,B154,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1334,6.4137,2.3571,10.5108,0.0427
AAS061,B155,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2457,6.3365,2.4417,9.9018,0.0375
SAT071,B156,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3649,6.3053,2.615,10.3164,0.0457
RAW041,B157,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2019,6.3825,2.3967,9.1608,0.0361
ZZK050,B158,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.9427,6.857,2.4653,8.9986,0.0337
RAW058,B159,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.159,5.9408,2.5036,9.8088,0.0361
AAS040,B160,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3326,6.2833,2.6313,10.1841,0.0493
ZZK052,B161,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1606,6.5305,2.1968,9.9799,0.037
ZZK032,B162,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1588,6.4222,2.2921,9.0056,0.0391
RAW032,B163,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3028,6.3929,2.487,9.4953,0.0365
RAW036,B164,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.6936,6.75,2.8411,10.6882,0.0622
RAW057,B165,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.9156,6.4776,2.4507,9.2762,0.0345
SAT066,B166,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0997,6.48,2.3439,9.4953,0.0382
AAS032,B167,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.6316,7.8381,2.7624,11.194,0.0604
AAS042,B168,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3145,6.9381,2.6024,10.4483,0.0506
ZZK044,B169,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.4219,7.0514,2.6796,10.6929,0.0473
SAT057,B170,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.4338,7.9239,2.6236,10.1867,0.05
ZZK042,B171,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.7123,7.6074,2.9708,11.7082,0.065
RAW055,B172,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.9635,5.9274,2.1684,9.3252,0.0288
RAW056,B173,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1442,6.3968,2.3469,9.5048,0.0388
RAW045,B174,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.601,5.4218,2.2758,8.6449,0.0272
AAS030,B175,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1217,6.2249,2.4975,9.9496,0.0515
AAS031,B176,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3851,5.8832,2.3804,9.5589,0.047
RAW050,B177,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.4832,6.3092,2.6422,10.5681,0.045
RAW043,B178,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.9918,6.3767,2.1051,9.6493,0.0375
RAW066,B179,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2895,7.0849,2.4482,10.4625,0.0443
SAT043,B180,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.4426,6.3328,2.6933,10.3694,0.0475
RAW037,B181,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2576,7.0893,2.7583,10.8419,0.0526
RAW033,B182,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.8932,5.4215,2.0687,8.3231,0.0275
RAW059,B183,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.7721,6.0755,2.4587,9.6765,0.0405
SAT063,B184,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.6949,6.7244,2.6746,10.7833,0.0467
RAW067,B185,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1805,6.8305,2.5251,10.193,0.0382
RAW049,B186,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.9996,6.7229,2.1732,9.6537,0.0358
ZZK049,B187,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.9637,6.7585,2.5662,10.309,0.0421
ZZK019,B188,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.702,5.0405,2.1437,7.8359,0.0255
ZZK012,B189,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3112,6.5571,2.5592,9.9338,0.0453
RAW026,B190,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.8413,6.3503,2.3095,9.929,0.037
ZZK031,B191,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.8058,6.8202,2.2013,8.719,0.0285
ZZK015,B192,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.8821,6.9253,2.4059,8.9343,0.0364
ZZK033,B193,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3409,7.6194,2.843,11.6818,0.0553
AAS058,B194,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0853,7.1125,2.6284,9.8928,0.036
RAW035,B195,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0404,5.941,2.4158,9.2583,0.0411
ZZK014,B196,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3162,6.9074,2.599,10.5827,0.0517
ZZK013,B197,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.75,5.9931,2.4821,9.9802,0.0419
RAW048,B198,0,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3099,5.2426,2.6002,9.8647,0.0389
RAW053,B199,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1198,6.7037,2.4072,9.3073,0.0368
SAT036,B200,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3886,7.4236,2.6823,10.7318,0.0473
SAT038,B201,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0579,7.0174,2.582,10.465,0.0436
RAW052,B202,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2757,7.1128,2.9097,10.8879,0.0515
SAT040,B203,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1545,6.55,2.3471,10.2935,0.0337
SAT034,B204,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.6422,6.099,2.1569,8.3435,0.0275
RAW029,B205,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.7837,5.76,2.3248,8.5236,0.0298
RAW028,B206,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.145,5.967,2.5064,9.7249,0.0416
ZZK011,B207,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.913,5.8625,2.3095,9.4972,0.0301
RAW047,B208,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1609,6.2506,2.4984,9.4761,0.0407
SAT030,B209,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.1994,6.5462,2.6218,9.9901,0.0368
SAT052,B210,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.7023,6.1797,2.3818,9.3823,0.0301
AAS047,B211,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.4101,6.7155,2.6433,9.8781,0.0435
AAS035,B212,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.3504,6.7989,2.5632,10.1925,0.0431
RAW065,B213,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.98,6.7967,2.416,9.5498,0.0388
SAT044,B214,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.0596,7.1182,2.4546,9.4491,0.0376
SAT033,B215,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.6856,7.0762,2.6674,10.8669,0.051
SAT047,B216,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.2468,7.5006,2.5255,10.2693,0.042
SAT031,B217,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",3.8968,7.2765,2.6329,10.9051,0.0567
ZZK061,B218,1,Jun-27,15,"USA: Union Co, Bucknell Ropes Course",2.7931,6.3454,2.1694,9.5068,0.0306
RAW082,B219,0,Jun-29,17,"USA: Montour Co, Bucknell Natural Area",3.4791,7.328,2.7427,10.1703,0.049
RAW077,B220,0,Jun-29,17,"USA: Montour Co, Bucknell Natural Area",2.9237,6.0768,2.4059,9.3311,0.0334
AAS065,B221,1,Jun-29,17,"USA: Montour Co, Bucknell Natural Area",3.183,6.2177,2.4127,9.7335,0.0408
RAW072,B222,1,Jun-29,17,"USA: Montour Co, Bucknell Natural Area",2.8137,5.5928,2.3885,9.2041,0.0313
SAT083,B223,1,Jun-29,17,"USA: Montour Co, Bucknell Natural Area",2.3974,5.9423,2.0507,8.1071,0.0209
SAT081,B224,1,Jun-29,17,"USA: Montour Co, Bucknell Natural Area",2.4034,7.1282,2.6384,10.2487,0.0525
ZZK084,B225,1,Jun-29,17,"USA: Montour Co, Bucknell Natural Area",2.8136,5.6967,2.2003,9.3846,0.0334
AAS067,B226,0,Jun-29,17,"USA: Montour Co, Bucknell Natural Area",3.1956,6.7068,2.777,10.5039,0.0509
SAT078,B227,1,Jun-29,17,"USA: Montour Co, Bucknell Natural Area",3.402,7.0123,2.8483,10.7832,0.053
